is_BYB	 link
True	https://athensga.craigslist.org/pet/d/commerce-pit-bull-puppy/7664322235.html
False	https://athensga.craigslist.org/pet/d/athens-fawn-bully-pitbull-pups/7664596914.html
False	https://athensga.craigslist.org/pet/d/athens-great-pyrenees-pitbull-puppies/7662767486.html
True	https://athensga.craigslist.org/pet/d/commerce-american-bullies/7651387153.html
False	https://athensga.craigslist.org/pet/d/winder-american-bully-pup/7664505654.html
True	https://athensga.craigslist.org/pet/d/athens-bully/7656829085.html
True	https://athensga.craigslist.org/pet/d/dewy-rose-male-and-female-bully/7660690513.html
True	https://athensga.craigslist.org/pet/d/athens-bully/7651623742.html
True	https://athensga.craigslist.org/pet/d/toccoa-olde-pit-bulldogges/7648062341.html
False	https://charlotte.craigslist.org/pet/d/statesville-pitbull-pit-bull-bully/7663168460.html
True	https://charleston.craigslist.org/pet/d/summerville-ukc-american-bully-pit-bull/7664580497.html
False	https://greenville.craigslist.org/pet/d/anderson-pit-bull-puppies-razors-edge/7664446744.html
False	https://albanyga.craigslist.org/pet/d/leesburg-pit-bull-mix-zoey/7664409327.html
False	https://knoxville.craigslist.org/pet/d/knoxville-female-pit-bull-bully/7664406493.html
False	https://knoxville.craigslist.org/pet/d/townsend-year-old-pit-bull/7664367795.html
True	https://atlanta.craigslist.org/sat/pet/d/hampton-bully-pit-bull/7659421725.html
False	https://columbia.craigslist.org/pet/d/lexington-lab-and-pitt-bull-pups/7663815919.html
False	https://chattanooga.craigslist.org/pet/d/chattanooga-blue-fawn-white-pit-bull/7663683757.html
False	https://nashville.craigslist.org/pet/d/la-vergne-pit-bull-terriers/7663526002.html
False	https://charlotte.craigslist.org/pet/d/charlotte-rehoming-pit-bull-puppies/7663510344.html
False	https://huntsville.craigslist.org/pet/d/hartselle-american-pit-bull/7663003635.html
False	https://atlanta.craigslist.org/atl/pet/d/atlanta-free-year-pit-bull/7661963170.html
False	https://bham.craigslist.org/pet/d/bessemer-pit-bull/7657386354.html
False	https://atlanta.craigslist.org/nat/pet/d/acworth-full-blooded-pit-bull/7661907970.html
True	https://charleston.craigslist.org/pet/d/ladson-rehoming-xl-pit-bull-puppies/7661631646.html
False	https://knoxville.craigslist.org/pet/d/townsend-year-old-pit-bull/7660969503.html
False	https://knoxville.craigslist.org/pet/d/knoxville-rehoming-year-old-pitt-bull/7660764562.html
False	https://columbusga.craigslist.org/pet/d/fort-benning-all-white-pit-bull-puppy/7660693950.html
False	https://nashville.craigslist.org/pet/d/fayetteville-german-shepherd-pit-bull/7660085008.html
False	https://nashville.craigslist.org/pet/d/lafayette-free-to-good-home-pit-bull/7660006352.html
False	https://atlanta.craigslist.org/sat/pet/d/riverdale-pit-bull-pup/7659605618.html
False	https://winstonsalem.craigslist.org/pet/d/kernersville-mixed-pit-bull/7659470370.html
False	https://charlotte.craigslist.org/pet/d/charlotte-xl-pit-bulls-for-rehoming/7658866592.html
True	https://nashville.craigslist.org/pet/d/murfreesboro-pit-bull-cross-puppy/7658648368.html
False	https://greensboro.craigslist.org/pet/d/greensboro-blue-pit-bull-no-papers-has/7658638867.html
False	https://knoxville.craigslist.org/pet/d/jellico-pit-bull-terrier/7658624620.html
False	https://charlotte.craigslist.org/pet/d/charlotte-xl-pit-bull-puppies/7658144594.html
False	https://greenville.craigslist.org/pet/d/greer-xl-pit-bull-pup-female/7657911648.html
False	https://greenville.craigslist.org/pet/d/greenville-pit-bull-mix/7657789681.html
False	https://winstonsalem.craigslist.org/pet/d/lexington-yr-old-pit-bull-needs-good/7657696863.html
False	https://gadsden.craigslist.org/pet/d/horton-pit-bull-male/7657596278.html
False	https://knoxville.craigslist.org/pet/d/sneedville-full-blooded-blue-fawn-pit/7657587780.html
False	https://hickory.craigslist.org/pet/d/rhodhiss-18-week-old-pit-bull/7657299794.html
True	https://greensboro.craigslist.org/pet/d/high-point-loving-pit-bull-needs-new/7657060466.html
True	https://hickory.craigslist.org/pet/d/newton-rough-collie-pit-bull-mix-pups/7649597154.html
False	https://macon.craigslist.org/pet/d/warner-robins-german-shepherd-and-blue/7656889900.html
False	https://fayetteville.craigslist.org/pet/d/raeford-pitbull/7664605677.html
False	https://greensboro.craigslist.org/pet/d/trinity-pitbull-puppy-to-good-home/7664572283.html
True	https://florencesc.craigslist.org/pet/d/florence-pitbull-puppies-for-sale/7664544929.html
True	https://atlanta.craigslist.org/nat/pet/d/buford-pitbull-puppy/7664505877.html
False	https://nashville.craigslist.org/pet/d/columbia-full-blood-american/7664496678.html
True	https://atlanta.craigslist.org/nat/pet/d/flowery-branch-blue-pitbull/7662774882.html
False	https://savannah.craigslist.org/pet/d/sylvania-pitbull-puppy-girl/7663426569.html
False	https://columbia.craigslist.org/pet/d/columbia-blue-nose-pitbulls-puppies/7660970994.html
False	https://greensboro.craigslist.org/pet/d/high-point-month-old-female-pitbull/7664326608.html
True	https://atlanta.craigslist.org/wat/pet/d/powder-springs-red-nose-chocolate/7664271099.html
True	https://atlanta.craigslist.org/atl/pet/d/decatur-young-adult-american-bullies/7664235940.html
False	https://greenville.craigslist.org/pet/d/spartanburg-pitbull-amstaff-puppy/7660156853.html
False	https://atlanta.craigslist.org/eat/pet/d/winder-pittbull/7664196907.html
True	https://hickory.craigslist.org/pet/d/forest-city-female-pitbull/7664183303.html
True	https://asheville.craigslist.org/pet/d/forest-city-female-pitbull/7664182623.html
False	https://dothan.craigslist.org/for/d/slocomb-pit-bull-puppies/7664487360.html
False	https://dothan.craigslist.org/for/d/slocomb-pit-bull-puppies/7664487360.html
True	https://atlanta.craigslist.org/atl/for/d/lithia-springs-pit-bull-puppies/7664373418.html
True	https://atlanta.craigslist.org/atl/for/d/lithia-springs-pit-bull-puppies/7664373418.html
True	https://atlanta.craigslist.org/nat/for/d/oakwood-red-nose-pit-bull-real-deal/7657832484.html
True	https://atlanta.craigslist.org/nat/for/d/oakwood-red-nose-pit-bull-real-deal/7657832484.html
True	https://atlanta.craigslist.org/atl/for/d/lithia-springs-pit-bull-puppies/7663633351.html
True	https://atlanta.craigslist.org/atl/for/d/lithia-springs-pit-bull-puppies/7663633351.html
